label_fr,description,simple,fautes
varices,Les veines proéminentes sur mes mollets me rendent gêné et embarrassé. Je pense que le problème est dû à mon surpoids.,Les veines sur mes mollets me gênent et m'embarrassent. Je pense que c'est à cause de mon surpoids.,Les vène sur mes molé me gène et m'embarasse. Je pense que c'est a cause de mon surpoi.
impétigo,"Au cours des deux derniers jours, l'éruption cutanée sur mon visage est devenue plus grave et enflammée, et les cloques ont commencé à saigner du pus clair. C'est vraiment douloureux à gérer.","Depuis deux jours, l'éruption sur mon visage est devenue plus grave et enflammée, et les cloques saignent du pus clair. C'est vraiment douloureux.","Depui deux jour, l'éruption sur mon visage est devenue plus grave et enflamé, et les cloque saigne du pus clair. C'est vraiment douloureu."
psoriasis,"Il y a une sorte de poudre argentée sur ma peau. En plus, la peau de mes bras et de mon dos commence à peler. C'est étrange et ça m'inquiète beaucoup.","Il y a une sorte de poudre argentée sur ma peau. En plus, la peau de mes bras et de mon dos commence à peler. C'est étrange et ça m'inquiète beaucoup.","Il y a une sorte de poudre argenté sur ma peau. En plu, la peau de mes bras et de mon dos commence a peller. Sa étrange et sa m'inquiète beaucoup."
asthme bronchique,"Bonjour, Maman et Papa, récemment, je me suis senti incroyablement fatigué et j'ai une toux qui ne veut pas partir. Ma fièvre est très élevée, et ma respiration est devenue superficielle. En plus, je crache beaucoup de mucus épais.","Bonjour, Maman et Papa, je me sens très fatigué et j'ai une toux qui ne veut pas partir. J'ai beaucoup de fièvre et j'ai du mal à respirer. En plus, je crache beaucoup de mucus épais.","Bonjour, Maman et Papa, je me sens trè fatigué et j'ai une toux qui veut pas partir. J'ai beaucoup de fièvre et j'ai du mal à respiré. En plus, je crache beaucoup de mucus épais."
allergie,"J'ai des problèmes de respiration et je suis facilement essoufflé. Mes yeux me font mal, j'ai une toux sèche et irritante, et mon visage et mon corps sont enflés.","J'ai du mal à respirer et je suis vite essoufflé. Mes yeux me font mal, j'ai une toux sèche et irritante, et mon visage et mon corps sont gonflés.","J'ai du mal à respirer et je suis vite essouflé. Mes yeux me font mal, j'ai une toux seche et irritante, et mon visage et mon corps sont gonflé."
infection fongique,"J'ai une éruption cutanée qui ne veut pas partir et des démangeaisons gênantes sur ma peau. En plus, j'ai vu des zones de couleurs différentes et des bosses qui ressemblent à des nœuds ou des bosses sur ma peau.","J'ai une éruption qui ne veut pas partir et des démangeaisons gênantes. En plus, j'ai vu des taches de couleurs différentes et des bosses qui ressemblent à des nœuds.","J'ai une éruption qui veut pas partir et des démangeaisons génantes. En plus, j'ai vu des taches de couleurs diférentes et des bosses qui ressemble à des nœuds."
asthme bronchique,"Je tousse sans arrêt depuis des jours, et j'ai aussi des problèmes respiratoires. Ma fièvre est très élevée, et je suis très faible et épuisé. Tous ces symptômes sont vraiment difficiles à contrôler.","Je tousse tout le temps depuis des jours, et j'ai du mal à respirer. J'ai beaucoup de fièvre, et je suis très faible et fatigué. C'est vraiment dur à supporter.","Je tousse tout le temp depuis des jour, et j'ai du mal à respiré. J'ai beaucoup de fièvre, et je suis trè faible et fatigué. C'est vraiment dur à supporter."
ulcère gastroduodénal,Je rencontre souvent des problèmes pour avaler et j'ai la sensation que la nourriture se coince dans ma gorge. Je rote régulièrement et je me sens ballonné. J'ai constamment un arrière-goût désagréable.,J'ai souvent du mal à avaler et j'ai la sensation que la nourriture se coince dans ma gorge. Je rote souvent et je me sens gonflé. J'ai toujours un goût désagréable dans la bouche.,J'ai souvent du mal à avaler et j'ai la sensation que la nourriture se coince dans ma gorge. Je rote souvent et je me sens gonflé. J'ai toujour un gout désagréable dans la bouche.
typhoïde,"Je me sens très faible. J'ai beaucoup d'inconfort abdominal et de la constipation, ce qui me dérange vraiment. J'ai parfois une forte envie de vomir, et en conséquence, je ne peux rien manger.","Je me sens très faible. J'ai souvent mal au ventre et de la constipation, ce qui me dérange beaucoup. J'ai parfois envie de vomir, et du coup, je ne peux rien manger.","Je me sens tré faible. J'ai souvent mal au ventre et de la constipation, sa me dérange beaucoup. J'ai parfois envie de vomir, et du coup, je peux rien manger."
varicelle,"L'éruption cutanée sur ma peau me cause beaucoup d'inconfort. Elle est rouge et enflée, et se propage sur tout mon corps. L'éruption est accompagnée de démangeaisons intenses, surtout sur mes bras et mes jambes.","Les boutons sur ma peau me font beaucoup de mal. Ils sont rouges et enflés, et se propagent partout sur mon corps. Ils me grattent beaucoup, surtout sur les bras et les jambes.","Les bouton sur ma peau me font beaucoup de mal. Il son rouge et enflé, et se propage par tou mon corps. Il me gratte beaucoup, surtou sur les bras et les jambes."
allergie,"Ma peau est rouge et irritée. Parfois, elle pèle. Mes joues et mes lèvres gonflent, ce qui est vraiment ennuyeux. Parfois, j'ai des maux de tête et des yeux qui coulent à cause du gonflement.","Ma peau est rouge et irritée. Parfois, elle pèle. Mes joues et mes lèvres gonflent, ce qui est vraiment ennuyeux. Parfois, j'ai des maux de tête et des yeux qui coulent à cause du gonflement.","Ma peau est rouge et irrité. Parfois, elle pèle. Mes joues et mes lèvres gonfle, ce qui est vraiment ennuyeux. Parfois, j'ai des maux de tête et des yeux qui coule à cause du gonflement."
allergie,J'ai perdu l'appétit et j'ai du mal à avaler. Mon nez coule et j'ai mal à la gorge.,J'ai perdu l'appétit et j'ai du mal à avaler. Mon nez coule et j'ai mal à la gorge.,J'ai perdu l'apetit et j'ai du mal à avaler. Mon néz coule et j'ai mal à la gorge.
rhume,"Je tousse sans arrêt et je frissonne terriblement. J'ai le nez bouché et mon visage est sous tension. En plus, ma gorge tousse des glaires dégoûtantes, et ma poitrine me fait mal. Mes muscles me font beaucoup mal, et je ne sens rien.",Je tousse tout le temps et je frissonne beaucoup. Mon nez est bouché et j'ai mal au visage. Je tousse des choses dégoûtantes et ma poitrine me fait mal. Mes muscles me font très mal et je ne sens rien.,Je tousse tout le tan et je frison beaucou. Mon nez est bouché et j'ai mal au visage. Je tousse des chose degoutante et ma poitrine me fais mal. Mes muscle me font tré mal et je ne sen rien.
rhume,"J'ai toujours les yeux chauds et gonflés, et j'ai l'impression que quelque chose obstrue mes sinus. Ma poitrine est lourde, et j'ai beaucoup toussé des glaires. Je n'ai pas d'odorat, et mes muscles me font beaucoup mal.","J'ai toujours les yeux chauds et gonflés, et j'ai l'impression que quelque chose bloque mon nez. Ma poitrine est lourde et j'ai beaucoup toussé des morves. Je ne sens rien et mes muscles me font très mal.","J'ai toujour les yeu chau et gonflé, et j'ai l'impression que quelque chose bloque mon nez. Ma poitrine est lourde et j'ai beaucou toussé des morve. Je ne sen rien et mes muscle me font tré mal."
psoriasis,"Mes bras, mon visage et mon dos sont tous rouges et irrités. C'est souvent irritant et désagréable. Mes ongles ont une étrange inflammation et ont développé de petites encoches. Je n'ai jamais rien vu de tel.","Mes bras, mon visage et mon dos sont tout rouges et ça me gratte. C'est souvent irritant et pas agréable. Mes ongles sont bizarres et ont des petits trous. Je n'ai jamais vu ça avant.","Mes bras, mon visage et mon dos sont tou rouge et sa me gratte. C'est souvent irritant et pas agréable. Mes ongles sont bizarres et ont des petits trous. J'ai jamais vu sa avant."
rhume,"Je ne peux pas arrêter de tousser et je suis gelé. Mes sinus sont complètement bouchés, et je suis inondé de mucosités. Ma poitrine me fait mal, et je ne sens rien. Mes muscles sont aussi très douloureux.",Je tousse tout le temps et j'ai très froid. Mon nez est bouché et j'ai beaucoup de morve. Ma poitrine me fait mal et je ne sens rien. Mes muscles me font très mal.,Je tousse tout le tan et j'ai tré froi. Mon nez est bouché et j'ai beaucou de morve. Ma poitrine me fais mal et je ne sen rien. Mes muscle me font tré mal.
varices,"Récemment, mes mollets se contractent fréquemment, surtout lorsque je marche ou que je reste debout pendant de longues périodes. De plus, les veines sont très visibles.","Depuis peu, mes mollets se contractent souvent, surtout quand je marche ou que je reste debout longtemps. Les veines sont très visibles.","Depui peu, mes molé se contracte souvan, surtou quand je marche ou que je reste debou lon tan. Les vène son tré visible."
asthme bronchique,"Je me sens vraiment fatigué et faible, et j'ai une mauvaise toux. Ma fièvre est très élevée, et ma respiration est devenue superficielle. Quand je tousse, beaucoup de salive sort aussi.","Je suis très fatigué et faible, et j'ai une mauvaise toux. J'ai beaucoup de fièvre et j'ai du mal à respirer. Quand je tousse, beaucoup de salive sort.","Je sui tré fatigué et faible, et j'ai une mauvaise tou. J'ai beaucou de fièvre et j'ai du mal à respiré. Quand je tousse, beaucou de salive sort."
rhume,"Je me sens très mal, avec beaucoup de congestion et un nez qui coule. J'ai beaucoup toussé et j'ai beaucoup de douleurs à la poitrine. Ma fièvre est très élevée, et j'ai des douleurs musculaires sévères.","Je me sens très mal, avec le nez bouché et qui coule. J'ai beaucoup toussé et j'ai mal à la poitrine. Ma fièvre est très élevée et j'ai très mal aux muscles.","Je me sen tré mal, avec le nez bouché et qui coule. J'ai beaucou toussé et j'ai mal a la poitrine. Ma fièvre est tré élevé et j'ai tré mal au muscle."
impétigo,"J'ai observé que les lésions sur mon visage guérissent plus lentement et sont plus sujettes aux infections. Les lésions sur mes joues sont énormes, désagréables au toucher, et incroyablement difficiles à traiter. Je n'arrive pas à faire disparaître ces plaies.","J'ai remarqué que les plaies sur mon visage guérissent lentement et s'infectent facilement. Les plaies sur mes joues sont grandes, désagréables au toucher, et très difficiles à soigner. Je n'arrive pas à les faire partir.","J'ai remarqué que les plai sur mon visage guerisse lentement et s'infecte facilement. Les plai sur mes joue sont grande, désagréable au toucher, et tré difficile a soigner. Je n'arrive pas a les faire partir."
hypertension,"J'ai eu des vertiges et de l'anxiété, ainsi qu'une perte de ma capacité à me concentrer et à prêter attention.","J'ai eu des vertiges et de l'anxiété, et j'ai du mal à me concentrer et à faire attention.","J'ai eu des vertige et de l'anxiété, et j'ai du mal a me concentré et a faire attention."
impétigo,"Une éruption cutanée s'est développée autour de mon nez et de mes lèvres, avec de grandes lésions rouges qui sont douloureuses et émettent un liquide jaune rouillé.","Une éruption cutanée s'est développée autour de mon nez et de mes lèvres, avec de grandes plaies rouges qui font mal et laissent sortir un liquide jaune.","Une éruption cutané s'est développé autour de mon né et de mes lèvres, avec de grande plaie rouge qui font mal et laisse sortir un liquide jaune."
allergie,"J'ai une congestion nasale et le nez bouché. Parfois, pendant la nuit, j'ai des raideurs et des douleurs à la poitrine. J'ai aussi perdu mon sens de l'odorat et du goût.","J'ai une congestion nasale et le nez bouché. Parfois, pendant la nuit, j'ai des raideurs et des douleurs à la poitrine. J'ai aussi perdu mon sens de l'odorat et du goût.","J'ai une congestion nasale et le néz bouché. Parfois, pendant la nuit, j'ai des raideurs et des douleurs à la poitrine. J'ai aussi perdu mon sens de l'odorat et du gout."
typhoïde,J'ai de la constipation et des douleurs à l'estomac. L'inconfort a empiré et cela interfère sérieusement avec ma vie quotidienne. J'ai perdu l'appétit et je n'ai pas envie de manger quoi que ce soit.,J'ai des problèmes pour aller aux toilettes et j'ai mal au ventre. L'inconfort a empiré et cela m'empêche de faire mes activités quotidiennes. Je n'ai plus envie de manger.,J'ai des problème pour alé au toilette et j'ai mal au ventre. L'inconfor a empiré et sa m'empêche de fair mes activité quotidienne. Je n'ai plu envi de manger.
varicelle,"Je suis épuisé et j'ai perdu l'appétit. J'ai envie de vomir et je ne peux rien manger. En plus, de petites taches rouges commencent à apparaître sur ma peau et près de mon cou. Je suis vraiment inquiet pour ma santé.","Je suis fatigué et je n'ai plus envie de manger. J'ai envie de vomir et je ne peux rien avaler. En plus, de petites taches rouges apparaissent sur ma peau et près de mon cou. Je suis vraiment inquiet pour ma santé.","Je suis fatigué et je n'ai plus envie de manger. J'ai envie de vomir et je peu rien avalé. En plus, de pti taches rouges apparaissent sur ma peau et près de mon cou. Je suis vraimen inquiet pour ma santé."
rhume,"Je ressens une fatigue intense, accompagnée d'une toux persistante et d'une fièvre élevée. J’ai également des maux de tête, des ganglions lymphatiques enflés, un sentiment de malaise général, des glaires, une irritation de la gorge, des yeux rouges, une pression sinusale, un nez qui coule, une congestion, des douleurs thoraciques, une perte de l'odorat et des douleurs musculaires.","Je suis très fatiguée. Je tousse beaucoup et j’ai de la fièvre. J’ai mal à la tête, mes ganglions sont enflés, je ne me sens pas bien, j’ai des glaires, la gorge qui gratte, les yeux rouges, le nez qui coule, mal à la poitrine, je ne sens plus les odeurs et j’ai mal aux muscles.","Je sui tré fatigué. Je tousse bocou et j’ai de la fièvre. J’ai mal à la tête, mes ganglion sont enflé, je me sens pas bien, j’ai des glaire, la gorge qui gratte, les yeux rouge, le nez qui coule, mal à la poitrine, je ne sens plus les odeurs et j’ai mal o muscle."
psoriasis,J'ai du mal à dormir à cause des démangeaisons et de la douleur causées par l'éruption cutanée. Mes ongles ont de petites crevasses. Je ressens aussi un pelage de la peau à différents endroits de mon corps.,J'ai du mal à dormir à cause des démangeaisons et de la douleur des boutons. Mes ongles ont de petites crevasses. Ma peau pèle aussi à différents endroits de mon corps.,J'ai du mal a dormir a cause des démangeaison et de la douleur des bouton. Mes ongle ont de petite crevasse. Ma peau pèle aussi a différen endroit de mon corps.
varices,La peau autour des veines de mes jambes est rouge et enflammée. Je crois que je peux voir certains des vaisseaux sanguins gonflés. Je suis vraiment inquiet à ce sujet.,La peau autour des veines de mes jambes est rouge et enflée. Je crois que je vois des vaisseaux sanguins gonflés. Ça m'inquiète beaucoup.,La po autour des veines de mes jambes est rouge et enflé. Je crois que je vois des vaisseaux sanguins gonflé. Sa m'inquiète beaucoup.
dengue,"Les vomissements que j'ai sont suivis de douleurs à l'estomac et de vertiges. J'ai perdu l'appétit et je me sens faible en conséquence. Mes bras, mon dos et mon cou me font mal la plupart du temps.","Je vomis et j'ai mal à l'estomac et des vertiges. J'ai perdu l'appétit et je me sens faible. Mes bras, mon dos et mon cou me font mal la plupart du temps.","Je vomi et j'ai mal à l'estomac et des vertige. J'ai perdu l'appétit et je me sens faible. Mes bras, mon dos et mon cou me font mal la plupar du temp."
rhume,"Mes yeux sont constamment rouges et larmoyants. Une sensation persistante de tension dans mes sinus me dérange aussi. J'ai beaucoup de difficulté à respirer et je me sens constamment fatigué. En plus, j'ai beaucoup de mucus dans la gorge et mes ganglions lymphatiques sont enflés.","Mes yeux sont toujours rouges et larmoyants. J'ai une sensation de tension dans mes sinus qui me dérange. J'ai beaucoup de difficulté à respirer et je me sens toujours fatigué. En plus, j'ai beaucoup de morve dans la gorge et mes ganglions lymphatiques sont enflés.","Mes yeux sont toujour rouges et larmoyants. J'ai une sensation de tension dans mes sinus qui me dérange. J'ai beaucoup de difficulté à respiré et je me sens toujour fatigué. En plus, j'ai beaucoup de morve dans la gorge et mes ganglions lymphatiques sont enflés."
réaction médicamenteuse,"J'ai des éruptions cutanées sur le dos et la poitrine, et tout mon corps me démange. Ma peau peut être sèche et squameuse par moments, ce qui laisse souvent des marques sur le corps.","J'ai des boutons sur le dos et la poitrine, et tout mon corps me démange. Ma peau peut être sèche et squameuse par moments, ce qui laisse souvent des marques.","J'ai des bouton sur le dos et la poitrine, et tou mon cor me démange. Ma peau peut être séche et squameuse par moment, sa laisse souvent des marque."
psoriasis,"J'ai une éruption cutanée sur mes bras, mes jambes et mon torse depuis quelques semaines. Elle est rouge, démange et est couverte de plaques sèches et squameuses.","J'ai des boutons sur mes bras, mes jambes et mon ventre depuis quelques semaines. Ils sont rouges, ils me démangent et ils sont secs et pleins de petites peaux.","J'ai des bouton sur mes bras, mes jambe et mon ventre depuis quelque semaine. Il sont rouge, il me demange et il sont sec et plein de petite peau."
ulcère gastroduodénal,J'ai du mal à avaler et j'ai souvent l'impression que la nourriture reste coincée dans ma gorge. J'ai des ballonnements et des éructations constantes. J'ai toujours un goût acide dans la bouche.,J'ai du mal à avaler et j'ai souvent l'impression que la nourriture reste coincée dans ma gorge. J'ai des ballonnements et des rots tout le temps. J'ai toujours un goût acide dans la bouche.,J'ai du mal à avaler et j'ai souvent l'impression que la nourriture reste coincée dans ma gorge. J'ai des ballonnements et des rots tout le temp. J'ai toujours un goût acide dans la bouche.
pneumonie,"Je suis trempé de sueur et je n'arrive pas à reprendre mon souffle. Ma gorge est remplie de beaucoup de mucosités, et je me sens très mal. Mon cœur bat fort, et ma poitrine me fait mal. Je tousse des mucosités filantes et brunâtres.","Je suis trempé de sueur et je n'arrive pas à bien respirer. Ma gorge est pleine de morve, et je me sens très mal. Mon cœur bat très fort, et ma poitrine me fait mal. Je tousse de la morve filante et marron.","Je suis trempé de sueur et je n'arive pas a bien respiré. Ma gorge est pleine de morve, et je me sens tré mal. Mon cœur bat tré fort, et ma poitrine me fais mal. Je tousse de la morve filante et marron."
paludisme,"J'ai eu des démangeaisons sévères sur tout le corps, des frissons et des vomissements. J'ai une fièvre très élevée et j'ai beaucoup transpiré. Je me sens aussi nauséeux et j'ai mal à la tête. Mes muscles sont très douloureux.","J'ai eu beaucoup de démangeaisons sur tout le corps, des frissons et des vomissements. J'ai une fièvre très élevée et j'ai beaucoup transpiré. Je me sens aussi nauséeux et j'ai mal à la tête. Mes muscles me font très mal.","J'ai eu beaucoup de démangeaison sur tout le corps, des frisson et des vomissement. J'ai une fièvre tré élevé et j'ai beaucoup transpiré. Je me sens aussi nauséeux et j'ai mal à la tête. Mes muscles me font tré mal."
psoriasis,"Ma peau pèle à certains endroits, surtout sur les genoux, les coudes et les bras. Ce pelage est souvent accompagné d'une sensation douloureuse ou de brûlure. Je développe aussi de petites crevasses sur mes ongles, ce qui est vraiment inquiétant.","Ma peau pèle à certains endroits, surtout sur les genoux, les coudes et les bras. Ça fait souvent mal ou ça brûle. J'ai aussi de petites crevasses sur mes ongles, ce qui m'inquiète beaucoup.","Ma peau pèle a certains endroit, surtou sur les genou, les coude et les bras. Sa fais souvent mal ou sa brûle. J'ai aussi de petite crevasse sur mes ongle, sa m'inquiète beaucoup."
allergie,"J'ai du mal à respirer et je suis essoufflé. J'ai une toux sèche et irritante, des yeux qui me démangent, et des gonflements sur tout mon visage et mon corps.","J'ai du mal à respirer et je suis essoufflé. J'ai une toux sèche qui me gratte, des yeux qui me démangent, et des gonflements partout sur mon visage et mon corps.","J'ai du mal à respirer et je suis essouflé. J'ai une toux sèche qui me gratte, des yeux qui me démange, et des gonflements partou sur mon visage et mon corps."
migraine,"En plus d'une faim excessive, d'un cou raide, de maux de tête, d'indigestion et de reflux acide, j'ai aussi eu de la tristesse, de l'impatience et des troubles visuels.","En plus d'avoir tout le temps faim, d'avoir le cou raide, des maux de tête, de l'indigestion et du reflux acide, j'ai aussi été triste, impatient et j'ai eu des problèmes de vue.","En plus d'avoir tout le temp faim, d'avoir le cou raide, des maux de tete, de l'indigestion et du reflux acide, j'ai aussi été triste, impatient et j'ai eu des probleme de vue."
hypertension,"J'ai eu des sensations de tête légère et d'instabilité sur mes pieds, et j'ai aussi remarqué une diminution de ma capacité à me concentrer.","J'ai eu des sensations de tête légère et d'instabilité sur mes pieds, et j'ai du mal à me concentrer.","J'ai eu des sensation de tete legere et d'instabilité sur mes pied, et j'ai du mal a me concentré."
acné,"J'ai récemment eu une éruption cutanée très irritante. Il y a des points noirs et des boutons remplis de pus partout. De plus, ma peau a beaucoup démangé.","J'ai une éruption sur la peau qui me gratte beaucoup. Il y a des points noirs et des boutons pleins de pus partout. En plus, ma peau me gratte beaucoup.","J'ai une éruption sur la peau qui me gratte beaucoup. Il y a des poin noir et des boutons plein de pus partou. En plu, ma peau me gratte beaucoup."
varices,"J'ai eu beaucoup de crampes ces derniers jours. Je pense que quelque chose ne va pas. Je crois qu'il y a un petit bleu sur mes mollets, mais je n'en suis pas sûr.","J'ai eu beaucoup de crampes ces derniers jours. Je pense que quelque chose ne va pas. Je crois qu'il y a un petit bleu sur mes mollets, mais je n'en suis pas sûr.","J'ai eu beaucoup de crampes ces derniers jours. Je pense que quelque chose ne va pas. Je crois qu'il y a un petit bleu sur mes mollet, mais je n'en suis pas sur."
infection fongique,"Il y a des zones d'éruption cutanée partout sur ma peau, ce qui est très irritant. De plus, j'ai des bosses assez fermes et des taches de couleur différente du reste de ma peau.","Il y a des zones d'éruption cutanée partout sur ma peau, ce qui est très irritant. J'ai aussi des bosses fermes et des taches de couleurs différentes.","Il y a des zone d'éruption cutané partou sur ma peau, sa m'irrite beaucoup. J'ai aussi des bosse ferme et des tache de couleur diférente."
impétigo,"J'ai remarqué que les plaies sur mon visage guérissent plus lentement et sont plus susceptibles de s'infecter. Les plaies sur mes joues sont grandes, douloureuses au toucher, et extrêmement difficiles à gérer. Je n'arrive pas à me débarrasser de ces plaies.","J'ai remarqué que les plaies sur mon visage guérissent plus lentement et s'infectent facilement. Les plaies sur mes joues sont grandes, font mal quand je les touche, et sont très difficiles à soigner. Je n'arrive pas à m'en débarrasser.","J'ai remarqué que les plaie sur mon visage guérisse plus lentement et s'infecte facilement. Les plaie sur mes joue sont grande, font mal quand je les touche, et sont très difficile à soigner. Je n'arrive pas à m'en débarrasser."
varices,"Récemment, la douleur dans mes mollets est constante et s'aggrave lorsque je reste debout ou que je marche pendant de longues périodes. Mes jambes ont commencé à enfler et certains vaisseaux sanguins sont très visibles.","Depuis peu, mes mollets me font tout le temps mal et ça empire quand je reste debout ou que je marche longtemps. Mes jambes gonflent et on voit bien les veines.","Depui peu, mes molé me font tou le tan mal et sa empire quand je reste debou ou que je marche longtan. Mes jambe gonfle et on voi bien les vène."
typhoïde,"J'ai perdu beaucoup de poids la semaine dernière parce que je ne pouvais pas manger beaucoup à cause des nausées et des vomissements. Cela est suivi d'une forte fièvre, d'un mal de tête et de douleurs à l'estomac.","J'ai perdu beaucoup de poids la semaine dernière parce que je ne pouvais pas manger à cause des nausées et des vomissements. Ensuite, j'ai eu une forte fièvre, un mal de tête et des douleurs au ventre.","J'ai perdu beaucoup de poid la semaine dernière parce que je ne pouvais pas manger à cause des nausées et des vomissements. Ensuite, j'ai eu une forte fièvre, un mal de tête et des douleurs au ventre."
psoriasis,"J'ai eu du mal à m'endormir à cause de la douleur et des démangeaisons de l'éruption cutanée. La peau de mes doigts commence à se détacher. Mes ongles ont quelques petites fissures, ce qui est vraiment inquiétant.","J'ai du mal à m'endormir à cause de la douleur et des démangeaisons des boutons. La peau de mes doigts commence à se détacher. Mes ongles ont des petites fissures, c'est inquiétant.","J'ai du mal a m'endormir a cause de la douleur et des démangeaisons des boutons. La po de mes doigts commence a se détacher. Mes ongles ont des petites fissures, c'est inquiétant."
pneumonie,"Je ressens des frissons et une toux persistante. J’ai une fièvre élevée, et je suis souvent essoufflée. Je transpire beaucoup, je me sens mal en général, j’ai des expectorations et des douleurs à la poitrine. Mon rythme cardiaque est rapide et mes crachats sont rouillés.","J’ai des frissons et je tousse beaucoup. J’ai de la fièvre et j’ai du mal à respirer. Je transpire beaucoup, je ne me sens pas bien, j’ai des glaires et j’ai mal à la poitrine. Mon cœur bat vite et mes crachats sont rouillés.","J’ai des frison et je touce bocou. J’ai de la fièvre et j’ai du mal a respiré. Je transpire bocou, je me sen pa bien, j’ai des glère et j’ai mal a la poitrine. Mon cœur bat vite et mes cracha son rouyé."
ulcère gastroduodénal,"Je perds du poids sans le vouloir et j'ai du mal à le reprendre. Pour soulager la douleur et l'inconfort que je ressens, je prends des antiacides. Ma bouche me fait très mal en ce moment.","Je perds du poids sans le vouloir et j'ai du mal à le reprendre. Pour soulager la douleur et l'inconfort, je prends des médicaments. Ma bouche me fait très mal en ce moment.","Je per du pois san le vouloir et j'ai du mal a le reprendre. Pour soulagé la douleur et l'inconfort, je pren des médicament. Ma bouche me fais tré mal en ce moment."
